metric,predictor,n,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_p_bonf,spearman_p_bonf,pearson_p_fdr,spearman_p_fdr,pearson_sig_bonf,spearman_sig_bonf,pearson_sig_fdr,spearman_sig_fdr,spearman_effect_bin
bugs_per_kloc,staleness_days,215,-0.06477775547105394,0.3445136528797965,-0.09310732651022403,0.1737605346447873,1.0,1.0,0.9806739536263298,0.6432746301137133,False,False,False,False,negligible
bugs_per_kloc,commits_last_12m,215,0.03845569971314642,0.5749396035780527,0.02792128805528988,0.6839351495306257,1.0,1.0,0.9806739536263298,0.9003498238297365,False,False,False,False,negligible
bugs_per_kloc,repo_age_days,215,0.0032241521790556385,0.9625133248554719,0.09170095149543638,0.18038009074764788,1.0,1.0,0.9806739536263298,0.6432746301137133,False,False,False,False,negligible
bugs_per_kloc,log_stars,215,-0.016432845579285895,0.8106680106306052,0.10402772124173795,0.12836471161722887,1.0,1.0,0.9806739536263298,0.6301540388482145,False,False,False,False,small
bugs_per_kloc,log_forks,215,-0.04044765705651075,0.5552824089304191,0.07055894572140683,0.3030803628542149,1.0,1.0,0.9806739536263298,0.6615197275509938,False,False,False,False,negligible
bugs_per_kloc,owner_is_org,215,-0.0325898351874067,0.6346434815319167,0.06726802145108943,0.3262450505575572,1.0,1.0,0.9806739536263298,0.6615197275509938,False,False,False,False,negligible
code_smells_per_kloc,staleness_days,215,-0.039172894202524414,0.5678245776940528,0.019377790237941537,0.7775568260853005,1.0,1.0,0.9806739536263298,0.9127841001870919,False,False,False,False,negligible
code_smells_per_kloc,commits_last_12m,215,-0.01619684394365833,0.8133369440065563,-0.06799364625456267,0.3210417033558984,1.0,1.0,0.9806739536263298,0.6615197275509938,False,False,False,False,negligible
code_smells_per_kloc,repo_age_days,215,-0.06651219302289234,0.33172252128660595,-0.0764098189410533,0.26464131852019634,1.0,1.0,0.9806739536263298,0.6432746301137133,False,False,False,False,negligible
code_smells_per_kloc,log_stars,215,-0.03980830750381394,0.5615560435698165,-0.03188268674530241,0.6420138874397092,1.0,1.0,0.9806739536263298,0.9003498238297365,False,False,False,False,negligible
