repo_url,owner,repo,bugs,code_smells,vulnerabilities,security_hotspots,vuln_blocker,vuln_critical,vuln_major,vuln_minor,vuln_info,ncloc,files,functions
https://github.com/cq-panda/Vue.NetCore,cq-panda,vue.netcore,884,16577,1,272,444,6383,5505,4891,239,300239,2098,18342
https://github.com/fullstackhero/blazor-starter-kit,fullstackhero,blazor-starter-kit,7,390,0,5,1,79,89,147,81,15729,389,3046
https://github.com/enkodellc/blazorboilerplate,enkodellc,blazorboilerplate,5,543,9,13,2,45,198,182,130,14537,340,1927
https://github.com/iammukeshm/CleanArchitecture.WebApi,iammukeshm,cleanarchitecture.webapi,0,32,0,0,0,3,13,15,1,2152,65,262
https://github.com/Meowv/Blog,meowv,blog,25,291,1,26,0,61,115,140,1,13491,309,1227
https://github.com/beetlex-io/BeetleX,beetlex-io,beetlex,32,346,4,46,0,51,165,130,36,9198,56,1093
https://github.com/NikolayIT/ASP.NET-Core-Template,nikolayit,asp.net-core-template,0,25,0,1,0,0,8,16,1,1901,68,149
https://github.com/Amitpnk/Onion-architecture-ASP.NET-Core,amitpnk,onion-architecture-asp.net-core,1,142,0,2,0,1,128,6,8,1619,61,320
https://github.com/ardalis/CleanArchitecture.WorkerService,ardalis,cleanarchitecture.workerservice,0,12,0,2,0,1,4,3,4,427,28,46
https://github.com/duyanming/Viper,duyanming,viper,160,1784,5,36,14,737,808,367,23,41302,258,1942
https://github.com/iayti/CleanArchitecture,iayti,cleanarchitecture,0,70,2,5,4,3,11,46,8,3846,102,510
https://github.com/ServUO/ServUO,servuo,servuo,533,38530,0,106,293,5674,7378,25398,320,950788,6270,102486
https://github.com/aspnetrun/run-aspnetcore,aspnetrun,run-aspnetcore,3,84,0,0,1,5,42,10,29,2224,77,236
https://github.com/thbst16/dotnet-blazor-crud,thbst16,dotnet-blazor-crud,4,70,0,7,0,8,41,16,9,2728,82,433
https://github.com/stphnwlsh/CleanMinimalApi,stphnwlsh,cleanminimalapi,0,14,0,2,0,0,6,8,0,1306,63,133
https://github.com/microsoft/vscode-remote-try-dotnet,microsoft,vscode-remote-try-dotnet,1,4,0,1,0,0,3,0,2,24,1,8
https://github.com/isaacOjeda/MinimalApiArchitecture,isaacojeda,minimalapiarchitecture,1,24,0,1,2,1,8,6,8,1208,24,151
https://github.com/CodelyTV/csharp-ddd-skeleton,codelytv,csharp-ddd-skeleton,1,74,0,6,3,3,17,36,16,3741,155,390
https://github.com/skills/secure-repository-supply-chain,skills,secure-repository-supply-chain,0,7,0,2,0,1,1,3,2,142,6,18
https://github.com/ardalis/modulith,ardalis,modulith,0,0,0,0,0,0,0,0,0,27,52,1
