sample_group,repo_url,original_link_repository,owner_type,owner_is_org,created_at,updated_at,repo_age_days,staleness_days,stars,forks,commits_last_12m,ncloc,files,functions,composite_score,mixedness_score,n_metrics_used,strata,repo_context,top_worst_metrics
best,https://github.com/LethalCompanyCommunity/LethalCompanyTemplate,https://github.com/LethalCompanyCommunity/LethalCompanyTemplate,Organization,1,2023-11-11 09:08:54,2025-10-28 21:08:11,804,22,76,61,0,12,1,1,0.19974160206718344,0.14585699285272757,9,org|mid,"age=804d, stale=22d, commits12m=0, stars=76, forks=61",vulnerabilities_per_ncloc:0.43; vuln_blocker_per_ncloc:0.37; bugs_per_ncloc:0.32
best,https://github.com/les-tontons-crafters/xtrem-tdd-money-kata,https://github.com/les-tontons-crafters/xtrem-tdd-money-kata,Organization,1,2022-05-27 11:25:14,2025-02-19 09:06:26,1337,274,27,10,0,54,4,11,0.19974160206718344,0.14585699285272757,9,org|mid,"age=1337d, stale=274d, commits12m=0, stars=27, forks=10",vulnerabilities_per_ncloc:0.43; vuln_blocker_per_ncloc:0.37; bugs_per_ncloc:0.32
best,https://github.com/microsoft/onnxruntime-csharp-cv-template,https://github.com/microsoft/onnxruntime-csharp-cv-template,Organization,1,2021-11-23 21:36:17,2025-10-28 03:19:19,1521,23,27,8,0,1103,5,7,0.28940568475452194,0.2517491838783961,9,org|mid,"age=1521d, stale=23d, commits12m=0, stars=27, forks=8",bugs_per_ncloc:0.88; vulnerabilities_per_ncloc:0.43; vuln_blocker_per_ncloc:0.37
best,https://github.com/ardalis/modulith,https://github.com/ardalis/modulith,User,0,2024-04-08 20:31:34,2025-11-06 12:33:09,654,14,167,19,12,27,52,1,0.19974160206718344,0.14585699285272757,9,user|high,"age=654d, stale=14d, commits12m=12, stars=167, forks=19",vulnerabilities_per_ncloc:0.43; vuln_blocker_per_ncloc:0.37; bugs_per_ncloc:0.32
best,https://github.com/stphnwlsh/CleanMinimalApi,https://github.com/stphnwlsh/CleanMinimalApi,User,0,2021-10-14 05:56:31,2025-11-08 19:18:38,1562,11,332,59,3,1306,63,133,0.31731266149870796,0.17030859557667677,9,user|high,"age=1562d, stale=11d, commits12m=3, stars=332, forks=59",security_hotspots_per_ncloc:0.64; vuln_minor_per_ncloc:0.44; vulnerabilities_per_ncloc:0.43
best,https://github.com/NikolayIT/ASP.NET-Core-Template,https://github.com/NikolayIT/ASP.NET-Core-Template,User,0,2016-02-01 17:55:31,2025-11-06 22:17:52,3643,13,1161,177,3,1901,68,149,0.33462532299741604,0.14334169713272832,9,user|high,"age=3643d, stale=13d, commits12m=3, stars=1161, forks=177",vuln_minor_per_ncloc:0.58; security_hotspots_per_ncloc:0.45; vulnerabilities_per_ncloc:0.43
best,https://github.com/Windows10CE/HacknetPluginTemplate,https://github.com/Windows10CE/HacknetPluginTemplate,User,0,2021-06-06 23:32:36,2025-10-01 03:07:34,1691,50,7,0,0,6719,5,1,0.19974160206718344,0.14585699285272757,9,user|low,"age=1691d, stale=50d, commits12m=0, stars=7, forks=0",vulnerabilities_per_ncloc:0.43; vuln_blocker_per_ncloc:0.37; bugs_per_ncloc:0.32
best,https://github.com/Measurity/ModTemplateValheim,https://github.com/Measurity/ModTemplateValheim,User,0,2021-02-12 20:47:02,2024-11-29 13:44:37,1805,356,13,4,1,158,2,13,0.24547803617571054,0.15084542315296393,9,user|low,"age=1805d, stale=356d, commits12m=1, stars=13, forks=4",vuln_minor_per_ncloc:0.44; vulnerabilities_per_ncloc:0.43; vuln_blocker_per_ncloc:0.37
best,https://github.com/Ellpeck/TinyLifeExampleMod,https://github.com/Ellpeck/TinyLifeExampleMod,User,0,2020-11-24 20:25:02,2025-11-08 11:46:30,1885,12,7,1,34,138,2,21,0.2948320413436692,0.22004343988806885,9,user|low,"age=1885d, stale=12d, commits12m=34, stars=7, forks=1",vuln_minor_per_ncloc:0.79; vulnerabilities_per_ncloc:0.43; vuln_blocker_per_ncloc:0.37
best,https://github.com/bbvch/TDDAcademy,https://github.com/bbvch/TDDAcademy,Organization,1,2017-06-28 14:54:55,2024-04-27 00:04:05,3130,572,5,2,0,30,3,3,0.19974160206718344,0.14585699285272757,9,org|low,"age=3130d, stale=572d, commits12m=0, stars=5, forks=2",vulnerabilities_per_ncloc:0.43; vuln_blocker_per_ncloc:0.37; bugs_per_ncloc:0.32
best,https://github.com/SoftwareCraftersMurcia/kata-setup,https://github.com/SoftwareCraftersMurcia/kata-setup,Organization,1,2021-04-25 18:57:30,2025-08-27 09:29:00,1733,85,8,20,2,87,14,11,0.25116279069767444,0.1318934784972022,9,org|low,"age=1733d, stale=85d, commits12m=2, stars=8, forks=20",vulnerabilities_per_ncloc:0.43; vuln_major_per_ncloc:0.40; vuln_blocker_per_ncloc:0.37
best,https://github.com/GridProtectionAlliance/projectalpha,https://github.com/GridProtectionAlliance/projectalpha,Organization,1,2016-05-04 17:29:04,2025-11-04 08:18:45,3550,16,8,4,111,1490,28,14,0.2749354005167958,0.1490858106311751,9,org|low,"age=3550d, stale=16d, commits12m=111, stars=8, forks=4",vulnerabilities_per_ncloc:0.43; vuln_critical_per_ncloc:0.42; vuln_info_per_ncloc:0.42
best,https://github.com/IADE-FP/iade-fp-2024-2025-projeto,https://github.com/IADE-FP/iade-fp-2024-2025-projeto,Organization,1,2024-10-27 09:54:30,2025-01-13 14:12:44,453,311,2,6,0,1,1,0,0.19974160206718344,0.14585699285272757,9,org|very_low,"age=453d, stale=311d, commits12m=0, stars=2, forks=6",vulnerabilities_per_ncloc:0.43; vuln_blocker_per_ncloc:0.37; bugs_per_ncloc:0.32
best,https://github.com/Nexus-Mods/NexusMods.App.Template,https://github.com/Nexus-Mods/NexusMods.App.Template,Organization,1,2023-07-10 13:17:47,2023-07-17 22:28:10,927,856,2,0,0,0,2,0,0.19974160206718344,0.14585699285272757,9,org|very_low,"age=927d, stale=856d, commits12m=0, stars=2, forks=0",vulnerabilities_per_ncloc:0.43; vuln_blocker_per_ncloc:0.37; bugs_per_ncloc:0.32
